This file was created by CMPT_ME_BEME_RETS_WEEKLY using the 202007 CRSP database.
The Tbill return is the weekly rate that, over four weeks, 
compounds to 1-month TBill rate from Ibbotson and Associates Inc.

,Mkt-RF,SMB,HML,RF
19451229,    0.89,    0.01,    0.23,   0.008
19460105,   -0.65,   -0.21,   -0.69,   0.007
19460112,    4.16,    1.07,    1.17,   0.007
19460119,    0.52,    1.40,    0.48,   0.007
19460126,    0.33,    2.11,    0.68,   0.007
19460202,    2.90,   -0.52,    0.66,   0.007
19460209,   -1.99,   -0.28,   -0.21,   0.007
19460216,    1.86,    1.18,   -0.63,   0.007
19460221,   -4.40,   -0.77,   -0.80,   0.007
19460302,   -3.20,   -1.11,   -0.69,   0.007
19460309,    2.61,    0.00,   -0.39,   0.007
19460316,   -0.16,   -0.73,   -0.09,   0.007
19460323,    2.37,    1.05,    0.06,   0.007
19460330,    1.78,    0.11,    0.52,   0.007
19460406,    2.69,    1.26,   -0.11,   0.007
19460413,    0.17,   -0.06,   -0.71,   0.007
19460420,    1.71,    0.89,    0.80,   0.007
19460427,   -0.75,   -0.09,    0.38,   0.007
19460504,   -1.39,    0.08,   -0.29,   0.007
19460511,    3.09,    1.78,    1.33,   0.007
19460518,   -0.93,   -0.05,   -1.06,   0.007
19460524,    1.41,    0.11,    1.18,   0.007
19460531,    2.15,   -0.11,    0.03,   0.007
19460607,   -1.63,   -0.64,   -0.53,   0.007
19460614,   -0.24,    0.13,    0.33,   0.007
19460621,   -3.36,   -0.84,   -0.56,   0.007
19460628,    1.34,   -0.20,    0.19,   0.007
19460705,    0.16,   -0.49,    0.01,   0.008
19460712,   -0.95,   -0.81,   -0.16,   0.008
19460719,   -1.91,   -0.57,    0.26,   0.008
19460726,   -2.08,   -0.66,    0.17,   0.008
19460802,    2.72,    0.50,   -0.25,   0.007
19460809,    0.23,   -0.07,    0.58,   0.007
19460816,   -1.06,   -0.81,    0.14,   0.007
19460823,   -1.47,   -0.45,   -0.24,   0.007
19460830,   -4.86,   -0.57,    0.22,   0.007
19460906,   -5.42,   -1.79,   -1.19,   0.007
19460913,   -3.08,   -1.65,   -0.30,   0.007
19460920,   -3.72,   -1.89,   -0.85,   0.007
19460927,    2.88,    0.93,    0.67,   0.007
19461005,   -2.66,   -0.41,   -0.33,   0.007
19461011,   -0.83,   -1.07,    1.24,   0.007
19461019,    2.34,    1.16,    0.25,   0.007
19461026,   -1.73,    0.02,    1.09,   0.007
19461102,    2.93,    1.09,    1.15,   0.007
19461109,   -1.02,   -0.12,    0.75,   0.007
19461116,   -1.69,   -0.41,   -0.23,   0.007
19461123,   -2.65,   -0.98,    0.21,   0.007
19461130,    3.00,    0.10,    0.54,   0.007
19461207,    1.28,    0.52,    0.06,   0.008
19461214,    2.79,   -0.91,   -0.72,   0.008
19461221,    1.73,    1.26,   -0.48,   0.008
19461228,   -1.46,   -0.42,   -0.10,   0.008
19470104,    0.43,    0.34,   -0.64,   0.007
19470111,   -2.01,   -0.65,   -0.51,   0.007
19470118,    0.84,    0.39,   -0.01,   0.007
19470125,   -0.10,    0.82,   -0.01,   0.007
19470201,    3.35,    1.31,    1.06,   0.007
19470208,    2.29,    0.15,   -0.21,   0.007
19470215,   -1.49,    0.62,   -0.60,   0.007
19470221,   -0.19,   -0.22,    0.27,   0.007
19470301,   -2.25,   -0.27,   -0.02,   0.007
19470308,   -2.37,   -0.91,    0.24,   0.007
19470315,   -1.96,   -0.68,    0.37,   0.007
19470322,    2.80,   -0.59,   -0.05,   0.007
19470329,    0.61,    0.67,    0.02,   0.007
19470405,   -0.93,   -0.52,    0.54,   0.007
19470412,   -3.78,   -1.33,   -0.75,   0.007
19470419,   -2.04,   -2.20,    0.09,   0.007
19470426,    0.18,    0.19,    0.74,   0.007
19470503,    2.60,   -0.37,   -0.16,   0.007
19470510,   -1.52,   -1.68,    0.37,   0.007
19470517,   -5.85,   -2.13,   -1.13,   0.007
19470524,    3.39,    0.55,    1.18,   0.007
19470529,    1.73,    0.17,    0.58,   0.007
19470606,    0.20,   -0.80,   -0.08,   0.008
19470613,    3.51,    0.68,   -0.39,   0.008
19470620,    1.17,    0.52,    0.11,   0.008
19470627,   -0.04,   -0.50,    0.07,   0.008
19470703,    3.14,    0.64,    1.70,   0.007
19470711,    1.91,    1.41,    0.52,   0.007
19470718,    0.03,    0.05,   -0.10,   0.007
19470725,    1.60,    0.47,    1.58,   0.007
19470801,   -1.90,   -1.44,   -1.06,   0.007
19470808,   -2.10,   -0.73,   -0.79,   0.007
19470815,    1.30,    0.80,    1.67,   0.007
19470822,   -0.48,   -0.06,   -0.32,   0.007
19470829,   -0.68,    0.54,   -0.14,   0.007
19470905,   -1.11,    0.13,   -0.41,   0.016
19470912,   -0.20,    0.64,    0.01,   0.016
19470919,    1.35,    0.76,    0.60,   0.016
19470926,   -1.84,    0.35,    0.25,   0.016
19471004,    2.66,    0.83,    1.92,   0.016
19471011,    0.43,    1.34,    0.07,   0.016
19471018,    2.39,   -0.27,    0.41,   0.016
19471025,   -0.76,   -0.33,   -0.38,   0.016
19471101,   -0.70,   -1.17,   -0.85,   0.016
19471108,   -0.83,   -0.57,   -0.39,   0.016
19471115,   -0.33,   -0.60,    0.41,   0.016
19471122,    0.90,    0.40,    1.05,   0.016
19471129,   -1.97,   -0.88,    0.12,   0.016
19471206,   -1.93,   -0.56,    0.41,   0.020
19471213,    2.93,    0.06,    2.16,   0.020
19471220,    1.94,   -0.45,    1.86,   0.020
19471227,   -0.87,   -0.96,   -0.36,   0.020
19480102,    1.39,    0.21,    0.54,   0.018
19480110,   -0.63,    0.96,    0.08,   0.018
19480117,   -2.42,    0.84,   -0.51,   0.018
19480124,   -3.19,    0.15,    0.01,   0.018
19480131,    1.93,   -0.23,    0.73,   0.018
19480207,   -2.69,   -0.57,   -0.30,   0.018
19480214,   -2.87,   -0.78,   -0.92,   0.018
19480221,    0.88,   -0.13,    0.32,   0.018
19480228,    0.29,   -0.13,    1.14,   0.018
19480306,    1.62,   -0.18,    0.82,   0.022
19480313,   -0.41,   -0.23,    0.97,   0.022
19480320,    3.60,    0.10,    1.85,   0.022
19480327,    0.76,    0.59,   -0.36,   0.022
19480403,    2.77,   -0.93,    0.05,   0.020
19480410,    1.01,   -0.43,    1.47,   0.020
19480417,    0.98,    0.28,    0.66,   0.020
19480424,    2.06,   -0.39,    2.51,   0.020
19480501,   -1.12,   -0.40,   -0.25,   0.019
19480508,    1.64,   -0.05,    0.28,   0.019
19480515,    4.49,    1.36,   -0.15,   0.019
19480522,    0.87,    0.72,    0.38,   0.019
19480528,    0.42,   -1.11,   -1.23,   0.019
19480604,   -0.69,   -0.98,   -0.44,   0.023
19480611,    2.06,   -0.44,    2.30,   0.023
19480618,   -0.50,   -0.78,    0.95,   0.023
19480625,   -0.67,    0.67,    0.33,   0.023
19480702,    0.18,   -0.63,    0.01,   0.020
19480709,    0.45,    0.10,    0.70,   0.020
19480716,   -3.34,    0.34,   -0.71,   0.020
19480723,   -0.32,   -0.38,   -0.34,   0.020
19480730,   -2.42,   -0.18,    0.17,   0.020
19480806,    1.29,   -0.96,    0.78,   0.021
19480813,   -2.14,   -0.06,   -1.59,   0.021
19480820,    2.00,   -0.75,    0.56,   0.021
19480827,   -0.26,    0.07,    0.12,   0.021
19480903,    1.27,    0.26,    0.98,   0.009
19480910,   -2.72,   -0.26,   -1.38,   0.009
19480917,   -0.48,    0.13,   -0.04,   0.009
19480924,   -0.87,   -0.54,   -0.59,   0.009
19481002,    0.73,   -0.81,    0.26,   0.010
19481009,    0.96,   -0.03,   -0.02,   0.010
19481016,    1.39,   -0.44,    0.32,   0.010
19481023,    2.99,    0.32,    1.59,   0.010
19481030,   -0.99,   -0.84,   -1.82,   0.010
19481106,   -5.74,    0.17,   -2.51,   0.010
19481113,   -2.39,   -0.19,   -1.31,   0.010
19481120,    2.01,   -0.10,    0.68,   0.010
19481127,   -2.41,   -0.35,   -1.30,   0.010
19481204,    2.28,   -0.71,    1.39,   0.011
19481211,    0.66,   -0.53,   -0.72,   0.011
19481218,   -0.98,   -0.20,   -1.53,   0.011
19481224,    0.65,   -0.57,    0.33,   0.011
19481231,   -0.39,   -0.91,   -1.40,   0.011
19490108,    2.88,    2.22,    1.20,   0.024
19490115,   -1.86,   -0.05,   -0.73,   0.024
19490122,    1.30,    0.15,    0.37,   0.024
19490129,   -1.88,   -0.29,    0.20,   0.024
19490205,   -2.48,    0.02,   -1.55,   0.022
19490211,   -1.44,   -0.80,    0.32,   0.022
19490219,    1.63,   -0.46,    0.26,   0.022
19490226,   -1.62,   -0.30,   -0.36,   0.022
19490305,    2.46,   -0.48,    0.70,   0.024
19490312,    2.06,    0.23,    0.70,   0.024
19490319,   -0.88,    0.22,   -0.35,   0.024
19490326,   -0.09,   -0.09,   -0.01,   0.024
19490402,    0.97,    2.02,    0.68,   0.023
19490409,    0.13,   -0.57,    0.62,   0.023
19490416,   -0.05,    0.10,   -0.60,   0.023
19490423,   -1.42,   -0.43,   -0.83,   0.023
19490430,   -0.20,   -0.11,   -0.07,   0.023
19490507,    1.10,   -0.45,   -0.49,   0.025
19490514,    0.37,    0.01,    0.68,   0.025
19490521,   -1.18,    0.31,   -1.15,   0.025
19490527,   -1.26,   -0.38,   -0.32,   0.025
19490603,   -2.69,   -0.22,   -0.83,   0.024
19490610,   -1.45,   -0.05,   -0.75,   0.024
19490617,    0.09,   -0.74,   -0.58,   0.024
19490624,    2.00,   -0.18,    0.26,   0.024
19490701,    0.88,   -0.05,   -0.21,   0.022
19490708,    1.30,    0.35,   -0.20,   0.022
19490715,    1.60,    0.02,    0.55,   0.022
19490722,    1.08,   -0.05,    0.09,   0.022
19490729,    0.73,    0.09,   -0.77,   0.022
19490805,    1.95,   -0.94,    0.78,   0.023
19490812,    0.77,    1.62,   -0.06,   0.023
19490819,    1.07,   -0.03,   -0.31,   0.023
19490826,   -1.05,   -0.11,   -0.64,   0.023
19490902,    0.57,   -0.58,   -0.06,   0.022
19490909,    0.61,   -0.28,   -0.62,   0.022
19490916,    1.97,    0.67,    1.10,   0.022
19490923,   -0.39,    0.17,    0.61,   0.022
19491001,   -0.30,    0.77,   -1.15,   0.022
19491008,    2.26,    1.27,   -0.03,   0.022
19491015,    0.42,    0.38,    0.52,   0.022
19491022,    0.02,   -0.14,   -0.08,   0.022
19491029,    1.24,   -0.45,   -0.45,   0.022
19491105,    1.24,   -0.81,    0.22,   0.021
19491112,   -0.38,   -0.27,   -1.44,   0.021
19491119,    1.26,    0.01,   -0.25,   0.021
19491126,   -0.51,   -0.12,    0.11,   0.021
19491203,    2.05,    0.57,    1.88,   0.022
19491210,    0.48,    0.97,   -0.90,   0.022
19491217,    1.63,    0.53,    0.96,   0.022
19491223,    0.08,   -0.20,   -0.55,   0.022
19491231,    0.59,    0.41,    0.39,   0.022
19500107,    1.77,    2.60,    1.91,   0.023
19500114,   -1.98,    1.03,   -0.51,   0.023
19500121,    1.39,   -0.55,   -0.36,   0.023
19500128,   -0.28,    0.40,   -0.90,   0.023
19500204,    2.39,   -0.64,    0.01,   0.021
19500211,   -0.38,    0.27,   -1.22,   0.021
19500218,    0.37,    0.80,    0.66,   0.021
19500225,    0.14,   -0.26,   -0.08,   0.021
19500304,    0.82,   -0.12,    0.59,   0.024
19500311,   -0.84,   -0.90,   -0.66,   0.024
19500318,    2.10,   -0.58,    0.30,   0.024
19500325,    0.77,   -0.68,   -1.34,   0.024
19500401,   -1.49,    0.81,   -1.06,   0.021
19500408,    2.57,   -0.29,    0.12,   0.021
19500415,   -0.01,    0.74,   -1.61,   0.021
19500422,    0.21,    1.11,    1.13,   0.021
19500429,    0.87,    0.21,    0.91,   0.021
19500506,    1.26,   -1.25,    1.33,   0.026
19500513,    0.31,   -0.10,   -0.45,   0.026
19500520,    2.48,   -0.63,    0.79,   0.026
19500527,   -0.32,   -0.48,   -0.55,   0.026
19500602,    0.47,    0.17,   -1.09,   0.024
19500609,    1.64,   -1.04,   -0.16,   0.024
19500616,   -1.21,   -0.34,    0.13,   0.024
19500623,    1.02,   -0.01,    0.10,   0.024
19500630,   -7.25,   -0.93,   -0.41,   0.024
19500707,   -0.17,    0.15,    1.01,   0.025
19500714,   -4.00,    0.40,    5.17,   0.025
19500721,    4.88,   -0.25,    4.61,   0.025
19500728,    0.42,    0.55,    2.29,   0.025
19500804,    1.99,    0.14,   -0.78,   0.024
19500811,    1.56,   -0.72,   -1.11,   0.024
19500818,    2.29,    0.20,    1.52,   0.024
19500825,   -0.48,    0.63,   -0.95,   0.024
19500901,    0.35,   -0.12,    0.21,   0.025
19500908,    1.07,   -0.11,    0.35,   0.025
19500915,    2.37,   -0.19,    1.01,   0.025
19500922,    0.78,    0.13,   -0.15,   0.025
19500929,    0.03,    0.98,   -2.39,   0.025
19501007,    2.72,   -0.60,    1.54,   0.029
19501014,   -1.39,    0.48,    0.38,   0.029
19501021,    1.41,    0.49,    0.65,   0.029
19501028,   -1.32,   -0.23,    0.03,   0.029
19501104,   -0.23,   -0.97,   -1.10,   0.026
19501110,    1.33,   -0.75,    0.91,   0.026
19501118,    1.65,   -0.23,    2.40,   0.026
19501125,    1.72,    0.23,   -0.05,   0.026
19501202,   -3.07,    0.28,    0.35,   0.028
19501209,    0.04,   -0.21,    2.96,   0.028
19501216,    1.14,   -0.41,    2.39,   0.028
19501222,    2.32,    1.77,    0.96,   0.028
19501230,    1.80,    0.25,    0.06,   0.028
19510106,    1.93,    0.61,    1.19,   0.031
19510113,    1.10,    0.16,    0.20,   0.031
19510120,    1.52,    0.78,    0.80,   0.031
19510127,    0.35,    0.47,    0.64,   0.031
19510203,    2.43,   -0.21,    0.51,   0.026
19510210,    0.86,   -0.04,    0.00,   0.026
19510217,    0.04,   -0.08,   -0.88,   0.026
19510224,   -0.49,    0.42,   -0.64,   0.026
19510303,   -0.01,   -0.09,   -0.81,   0.027
19510310,   -0.15,    0.36,   -1.09,   0.027
19510317,   -1.48,   -0.23,   -1.51,   0.027
19510324,   -0.89,   -0.34,   -1.63,   0.027
19510331,   -0.38,   -0.72,   -0.31,   0.027
19510407,    1.37,   -0.23,    1.31,   0.032
19510414,    2.36,   -0.38,    1.17,   0.032
19510421,   -0.47,   -0.07,    0.02,   0.032
19510428,    1.60,   -0.60,    1.10,   0.032
19510505,    1.07,   -0.62,    0.47,   0.031
19510512,   -1.22,    0.46,   -0.80,   0.031
19510519,   -2.48,    0.03,   -1.27,   0.031
19510526,   -1.52,    0.62,   -1.02,   0.031
19510601,    1.64,   -0.92,    0.87,   0.029
19510608,    0.40,   -0.12,    0.10,   0.029
19510615,    1.79,   -1.22,    0.19,   0.029
19510622,   -1.96,    0.03,   -1.29,   0.029
19510629,   -2.67,   -0.49,   -2.98,   0.029
19510706,    2.87,   -0.34,    0.96,   0.034
19510713,    1.20,   -0.59,    0.00,   0.034
19510720,    0.10,   -0.08,   -0.39,   0.034
19510727,    2.66,   -0.86,    1.60,   0.034
19510803,    1.81,   -0.11,    0.33,   0.033
19510810,   -0.08,    0.26,   -0.59,   0.033
19510817,    1.22,    0.22,    0.40,   0.033
19510824,   -0.28,    0.33,   -0.74,   0.033
19510831,    1.48,    0.23,    0.26,   0.033
19510907,    1.61,   -0.38,    0.59,   0.030
19510914,    0.83,    0.46,    0.26,   0.030
19510921,   -1.22,    1.53,   -0.29,   0.030
19510928,   -0.51,    0.26,    0.05,   0.030
19511006,    1.89,    0.71,    1.21,   0.039
19511013,   -0.09,    0.26,   -0.06,   0.039
19511020,   -2.88,   -0.23,   -0.84,   0.039
19511027,   -3.27,    0.10,   -0.02,   0.039
19511103,    0.96,   -0.79,   -0.62,   0.027
19511110,    0.99,   -0.34,    0.52,   0.027
19511117,   -0.05,    0.08,    0.40,   0.027
19511124,   -2.02,    0.40,   -0.68,   0.027
19511201,    2.88,   -0.74,    0.47,   0.031
19511208,    2.00,   -0.88,   -0.10,   0.031
19511215,   -0.12,    0.08,   -1.17,   0.031
19511222,    0.33,   -0.77,    0.24,   0.031
19511229,    0.58,   -0.30,   -0.39,   0.031
19520105,    0.81,    0.47,    0.41,   0.039
19520112,    0.56,   -1.11,    0.12,   0.039
19520119,    0.87,   -0.56,    1.30,   0.039
19520126,    0.89,   -0.35,   -0.70,   0.039
19520202,   -0.46,    0.31,    0.18,   0.029
19520209,   -0.34,    0.74,   -0.58,   0.029
19520216,   -1.30,    0.13,    0.15,   0.029
19520223,   -2.02,    0.19,    0.55,   0.029
19520301,    0.14,    0.08,   -0.88,   0.027
19520308,    2.29,   -1.09,    1.39,   0.027
19520315,    0.48,   -0.67,   -0.17,   0.027
19520322,    0.13,   -0.28,    0.49,   0.027
19520329,    1.31,   -0.84,    0.59,   0.027
19520405,   -1.35,    0.31,   -0.38,   0.029
19520412,    0.01,   -0.02,    0.25,   0.029
19520419,   -2.35,    0.64,   -0.51,   0.029
19520426,   -0.06,   -0.32,    0.92,   0.029
19520503,   -0.24,   -0.64,   -0.43,   0.033
19520510,    1.39,   -0.37,   -0.18,   0.033
19520517,   -0.59,    0.18,   -0.67,   0.033
19520524,    1.47,   -0.24,    0.54,   0.033
19520529,   -0.13,   -0.14,    0.39,   0.033
19520606,    1.53,   -0.64,    0.72,   0.037
19520613,    0.54,   -0.13,   -0.34,   0.037
19520620,    0.60,   -0.14,   -0.03,   0.037
19520627,    0.75,   -0.58,    0.75,   0.037
19520703,    0.70,    0.06,   -0.37,   0.038
19520711,   -0.30,    0.04,   -0.10,   0.038
19520718,   -0.56,   -0.04,    0.32,   0.038
19520725,    0.93,   -0.06,   -0.37,   0.038
19520801,    0.54,   -0.39,    0.21,   0.037
19520808,    0.30,    0.15,   -0.15,   0.037
19520815,   -0.91,    0.54,   -0.13,   0.037
19520822,   -0.66,    0.33,   -0.20,   0.037
19520829,    0.44,    0.03,    0.59,   0.037
19520905,    0.33,    0.11,   -0.77,   0.041
19520912,   -1.99,    0.73,   -0.51,   0.041
19520919,   -0.26,    0.31,    0.09,   0.041
19520926,    0.48,   -0.07,   -0.10,   0.041
19521003,   -1.05,    0.13,   -0.14,   0.035
19521010,    0.27,    0.11,   -0.32,   0.035
19521017,   -1.30,   -0.22,   -0.12,   0.035
19521024,   -0.72,   -0.08,   -0.33,   0.035
19521031,    1.55,   -0.99,    0.18,   0.035
19521107,    1.87,   -0.74,   -0.76,   0.026
19521114,   -0.06,    0.51,   -0.43,   0.026
19521121,    2.19,   -0.03,    1.26,   0.026
19521128,    1.86,   -0.45,    0.87,   0.026
19521205,    0.18,   -0.18,   -0.04,   0.041
19521212,    1.18,   -0.66,   -0.15,   0.041
19521219,    0.33,   -0.47,    0.72,   0.041
19521226,    0.26,    0.19,    0.38,   0.041
19530102,    0.98,    0.20,   -0.06,   0.040
19530109,   -1.30,    1.72,    0.56,   0.040
19530116,   -0.27,    0.83,    0.04,   0.040
19530123,    0.13,    0.63,    0.28,   0.040
19530130,    1.04,   -0.20,   -0.26,   0.040
19530206,   -1.46,    0.48,   -1.23,   0.035
19530213,    0.01,    0.45,    0.38,   0.035
19530220,   -0.19,    0.46,    0.43,   0.035
19530227,    1.40,    0.72,    0.36,   0.035
19530306,    0.02,    0.16,    0.00,   0.046
19530313,    1.17,   -0.47,    0.44,   0.046
19530320,    0.40,    0.48,   -0.15,   0.046
19530327,   -0.39,    0.05,   -0.39,   0.046
19530402,   -2.59,   -0.12,   -0.62,   0.040
19530410,   -1.72,    0.31,    0.42,   0.040
19530417,   -0.61,   -0.19,    0.40,   0.040
19530424,   -1.88,    0.05,    0.35,   0.040
19530501,    1.74,   -0.40,    0.02,   0.043
19530508,    1.00,   -0.40,   -0.35,   0.043
19530515,    0.05,    0.13,    0.34,   0.043
19530522,    0.83,   -0.12,    0.52,   0.043
19530529,   -1.75,    0.36,   -0.14,   0.043
19530605,   -1.94,   -0.22,   -0.41,   0.046
19530612,   -1.07,   -0.53,    0.05,   0.046
19530619,    0.11,   -0.53,    0.06,   0.046
19530626,    1.30,   -0.63,   -0.02,   0.046
19530703,    0.72,   -0.32,    0.15,   0.036
19530710,    0.07,   -0.15,   -0.32,   0.036
19530717,   -0.11,   -0.24,    0.01,   0.036
19530724,   -0.36,    0.22,   -0.13,   0.036
19530731,    1.78,   -0.56,   -0.17,   0.036
19530807,    0.90,    0.15,   -0.87,   0.042
19530814,   -0.05,    0.19,   -1.11,   0.042
19530821,   -1.16,   -0.08,   -0.38,   0.042
19530828,   -2.54,    0.20,   -0.80,   0.042
19530904,   -0.68,   -0.42,   -0.56,   0.040
19530911,   -2.03,   -0.19,   -1.53,   0.040
19530918,   -0.92,   -0.72,   -0.30,   0.040
19530925,    1.73,    0.24,    0.17,   0.040
19531002,    1.37,   -0.16,   -1.29,   0.031
19531009,    0.10,   -0.12,   -0.14,   0.031
19531016,    2.01,   -0.13,    0.81,   0.031
19531023,    0.69,   -0.21,   -0.81,   0.031
19531030,    0.71,   -0.32,    0.18,   0.031
19531106,    1.30,   -0.61,    0.12,   0.019
19531113,   -0.10,    0.00,    0.11,   0.019
19531120,   -0.22,    0.49,   -0.67,   0.019
19531127,    1.27,   -1.00,    0.16,   0.019
19531204,    1.39,   -0.22,   -0.30,   0.032
19531211,   -0.72,    0.09,   -0.61,   0.032
19531218,    0.85,   -0.67,   -0.25,   0.032
19531224,   -0.67,    0.39,   -0.22,   0.032
19531231,   -0.30,   -0.33,   -1.71,   0.032
19540108,    0.85,    1.61,    1.46,   0.027
19540115,    1.88,   -0.32,    0.77,   0.027
19540122,    1.29,   -0.26,    0.68,   0.027
19540129,    1.03,   -0.54,    0.36,   0.027
19540205,    1.21,   -0.64,   -0.14,   0.018
19540212,    0.05,    0.38,    0.47,   0.018
19540219,   -0.48,    0.29,   -0.07,   0.018
19540226,    0.89,   -0.28,   -0.43,   0.018
19540305,    1.47,   -0.99,    0.23,   0.019
19540312,    0.66,    0.28,   -0.90,   0.019
19540319,    0.70,    0.01,    0.54,   0.019
19540326,   -0.70,    0.41,   -0.96,   0.019
19540402,    2.30,   -0.61,   -0.31,   0.022
19540409,    0.87,    0.05,    0.01,   0.022
19540415,    1.22,   -1.09,   -0.36,   0.022
19540423,    0.02,   -0.25,   -0.41,   0.022
19540430,    1.27,   -1.46,    0.15,   0.022
19540507,    0.87,   -0.47,    0.03,   0.013
19540514,    0.73,    0.28,    1.28,   0.013
19540521,    1.05,    0.22,    0.99,   0.013
19540528,    0.42,    0.24,    0.09,   0.013
19540604,   -0.14,    0.80,   -0.48,   0.015
19540611,   -1.42,    0.78,    0.81,   0.015
19540618,    1.49,   -0.65,    0.29,   0.015
19540625,    1.10,   -0.87,   -0.12,   0.015
19540702,    1.09,   -0.10,   -0.58,   0.013
19540709,    1.20,   -0.32,    0.32,   0.013
19540716,    0.02,    1.10,    1.71,   0.013
19540723,    1.19,   -0.11,    1.61,   0.013
19540730,    1.48,    0.40,    0.43,   0.013
19540806,   -0.87,    1.27,   -0.62,   0.012
19540813,    1.41,    0.78,    1.45,   0.012
19540820,    1.21,   -0.54,   -0.47,   0.012
19540827,   -1.67,    0.91,   -0.70,   0.012
19540903,   -0.34,    0.16,    0.01,   0.022
19540910,    1.16,   -0.72,    1.30,   0.022
19540917,    1.79,   -0.63,   -0.01,   0.022
19540924,    1.69,   -1.39,   -0.22,   0.022
19541001,   -0.38,    0.34,   -0.94,   0.017
19541008,    0.84,   -0.38,    0.71,   0.017
19541015,   -2.52,    1.19,   -0.01,   0.017
19541022,    1.49,   -0.40,    0.76,   0.017
19541029,   -1.56,    0.22,   -1.06,   0.017
19541105,    3.44,   -1.52,    0.88,   0.016
19541112,    2.66,   -0.83,    2.15,   0.016
19541119,    0.62,    0.38,    0.68,   0.016
19541126,    2.74,   -1.00,    1.11,   0.016
19541203,    0.79,    0.98,   -0.10,   0.021
19541210,    0.41,    0.84,    1.21,   0.021
19541217,    1.13,   -0.72,    1.98,   0.021
19541223,    0.94,    0.68,    0.52,   0.021
19541231,    1.74,    0.35,    1.41,   0.021
19550107,   -1.76,    0.62,   -0.68,   0.020
19550114,    0.15,    0.89,    0.28,   0.020
19550121,    0.16,    0.66,   -0.22,   0.020
19550128,    1.32,   -1.30,    2.24,   0.020
19550204,    2.00,   -0.54,   -0.48,   0.021
19550211,    1.50,    0.13,   -0.05,   0.021
19550218,    0.20,    1.49,    0.48,   0.021
19550225,   -0.46,    0.30,    0.31,   0.021
19550304,    2.30,   -1.05,    1.40,   0.025
19550311,   -4.15,    0.19,   -0.78,   0.025
19550318,    0.93,    0.21,    0.48,   0.025
19550325,    2.30,   -0.78,    1.22,   0.025
19550401,   -0.10,    0.02,    1.17,   0.026
19550407,    0.80,   -0.39,    0.16,   0.026
19550415,    1.42,   -0.36,    0.08,   0.026
19550422,   -0.21,   -0.60,    0.11,   0.026
19550429,    0.22,    0.05,   -0.06,   0.026
19550506,    0.16,   -0.55,    0.14,   0.035
19550513,   -1.04,    0.29,   -0.83,   0.035
19550520,    1.01,    0.24,    0.26,   0.035
19550527,    0.79,   -0.28,   -0.18,   0.035
19550603,    1.14,   -0.93,    0.13,   0.026
19550610,    1.75,   -1.74,    1.32,   0.026
19550617,    2.00,   -1.16,    0.60,   0.026
19550624,    1.10,   -0.42,   -0.51,   0.026
19550701,    0.81,    0.19,   -0.55,   0.025
19550708,    0.59,   -1.79,   -1.10,   0.025
19550715,    0.00,    0.48,    1.32,   0.025
19550722,    0.97,    0.29,    0.60,   0.025
19550729,   -0.09,   -0.20,   -0.38,   0.025
19550805,   -1.54,    0.90,   -0.28,   0.040
19550812,   -0.29,   -0.33,    0.15,   0.040
19550819,   -0.59,   -0.09,    0.84,   0.040
19550826,    2.06,   -0.87,    0.23,   0.040
19550902,    1.31,   -0.14,   -0.57,   0.040
19550909,    0.90,   -0.13,    0.61,   0.040
19550916,    1.63,   -0.50,   -0.47,   0.040
19550923,    0.84,   -0.16,   -0.06,   0.040
19550930,   -4.34,    1.37,   -1.17,   0.040
19551007,   -2.44,    1.03,   -0.23,   0.045
19551014,   -2.23,    0.21,    0.45,   0.045
19551021,    2.60,   -0.43,    0.23,   0.045
19551028,   -0.47,    0.47,   -0.33,   0.045
19551104,    2.88,   -1.43,   -0.24,   0.042
19551111,    2.10,   -0.64,    0.01,   0.042
19551118,    0.79,   -0.23,   -0.48,   0.042
19551125,    0.87,   -0.64,    1.19,   0.042
19551202,    0.27,    1.22,   -0.25,   0.045
19551209,    0.98,    0.91,   -0.87,   0.045
19551216,   -0.96,    0.80,   -0.18,   0.045
19551223,    1.01,   -0.02,   -0.22,   0.045
19551230,    0.33,   -0.38,   -0.49,   0.045
19560106,   -0.63,    0.85,    0.15,   0.055
19560113,   -0.85,    0.37,    0.05,   0.055
19560120,   -3.07,    0.72,   -0.44,   0.055
19560127,    0.48,   -0.63,    0.80,   0.055
19560203,    2.76,   -1.59,   -0.69,   0.048
19560210,   -1.97,    0.59,    0.01,   0.048
19560217,    1.96,   -0.35,    0.73,   0.048
19560224,    2.01,   -0.60,    0.31,   0.048
19560302,    1.39,   -0.45,   -0.29,   0.038
19560309,    2.02,    0.16,   -0.16,   0.038
19560316,    2.01,   -1.01,   -0.66,   0.038
19560323,    0.99,   -0.67,    0.18,   0.038
19560329,    0.09,   -0.01,    0.24,   0.038
19560406,    0.75,   -0.56,   -0.37,   0.046
19560413,   -1.56,    1.57,    0.28,   0.046
19560420,   -0.18,   -0.18,    0.17,   0.046
19560427,    0.61,   -0.35,    0.32,   0.046
19560504,    1.36,   -0.30,   -1.10,   0.058
19560511,   -1.73,    0.82,    0.04,   0.058
19560518,   -1.36,    0.55,    0.23,   0.058
19560525,   -3.92,    0.44,   -0.39,   0.058
19560601,    1.56,   -0.56,   -1.17,   0.050
19560608,   -0.97,   -0.56,   -0.30,   0.050
