This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202007 CRSP database.
The 1-month TBill return is from Ibbotson and Associates Inc.

,Mkt-RF,SMB,HML,RMW,CMA,RF
199603,    0.73,    1.54,    1.01,    1.30,   -0.97,    0.39
199604,    2.06,    4.64,   -3.91,    0.18,   -2.20,    0.46
199605,    2.36,    3.18,   -1.20,    0.43,   -0.22,    0.42
199606,   -1.14,   -3.47,    1.56,    3.46,    1.09,    0.40
199607,   -5.97,   -3.68,    4.45,    2.83,    2.59,    0.45
199608,    2.77,    2.54,   -0.46,   -0.30,   -2.42,    0.41
199609,    5.01,   -1.33,   -3.15,    1.51,   -2.18,    0.44
199610,    0.86,   -3.88,    5.13,    1.32,    2.97,    0.42
199611,    6.25,   -3.78,    1.17,    2.00,   -0.73,    0.41
199612,   -1.70,    3.20,    0.88,    0.54,    1.52,    0.46
199701,    4.98,   -1.82,   -1.64,    1.31,   -0.28,    0.45
199702,   -0.49,   -2.53,    5.20,    0.68,    3.41,    0.39
199703,   -5.02,   -0.48,    3.81,    0.36,    1.66,    0.43
199704,    4.04,   -5.73,   -0.06,    3.25,   -0.90,    0.43
199705,    6.74,    4.65,   -3.89,   -0.96,   -2.91,    0.49
199706,    4.10,    1.26,    1.23,    1.01,    0.55,    0.37
199707,    7.33,   -2.84,    0.82,   -0.24,   -2.56,    0.43
199708,   -4.15,    7.66,    1.38,   -0.93,   -0.02,    0.41
199709,    5.35,    2.56,    0.01,   -1.39,   -0.93,    0.44
199710,   -3.80,   -0.51,    1.95,    1.09,    1.87,    0.42
199711,    2.98,   -5.03,    0.78,    3.07,    1.66,    0.39
199712,    1.32,   -2.01,    3.45,    1.19,    1.92,    0.48
199801,    0.15,   -1.41,   -1.45,    0.46,   -0.85,    0.43
199802,    7.04,   -0.02,   -0.13,   -0.86,   -2.41,    0.39
199803,    4.76,   -0.65,    1.05,   -1.02,   -0.47,    0.39
199804,    0.73,   -0.02,    0.73,   -2.13,   -0.23,    0.43
199805,   -3.07,   -3.11,    4.16,    0.96,    2.54,    0.40
199806,    3.18,   -3.68,   -2.33,   -0.52,   -2.93,    0.41
199807,   -2.46,   -5.32,   -0.96,    1.82,    0.45,    0.40
199808,  -16.08,   -5.02,    3.40,    3.47,    5.84,    0.43
199809,    6.15,   -0.84,   -3.31,   -1.51,   -2.91,    0.46
199810,    7.13,   -3.51,   -2.21,    0.59,    0.29,    0.32
199811,    6.10,    0.64,   -3.15,   -1.24,   -1.15,    0.31
199812,    6.16,   -1.51,   -4.46,   -0.75,   -3.33,    0.38
199901,    3.50,   -0.75,   -4.03,   -2.69,   -6.86,    0.35
199902,   -4.08,   -5.15,    1.40,   -1.71,    4.09,    0.35
199903,    3.45,   -4.29,   -2.65,   -4.20,   -1.40,    0.43
199904,    4.33,    4.67,    2.53,   -2.42,    0.92,    0.37
199905,   -2.46,    3.73,    2.40,    1.09,    3.36,    0.34
199906,    4.77,    2.25,   -3.60,    1.32,   -3.38,    0.40
199907,   -3.49,    2.53,   -0.76,    0.49,    3.11,    0.38
199908,   -1.38,   -1.93,   -1.31,   -0.30,    0.31,    0.39
199909,   -2.79,    2.57,   -3.39,   -0.72,   -1.07,    0.39
199910,    6.12,   -7.09,   -2.89,   -1.72,   -1.25,    0.39
199911,    3.37,    5.90,   -6.51,   -3.85,   -1.58,    0.36
199912,    7.72,    5.42,   -8.73,   -7.91,   -5.29,    0.44
200001,   -4.74,    4.15,   -0.28,   -6.05,    4.73,    0.41
200002,    2.45,   18.32,   -9.93,  -18.34,   -0.51,    0.43
200003,    5.20,  -14.91,    7.37,   11.67,   -1.05,    0.47
200004,   -6.40,   -5.55,    8.61,    7.55,    5.27,    0.46
200005,   -4.42,   -3.68,    2.57,    4.64,    0.74,    0.50
200006,    4.64,   10.39,   -9.86,   -6.83,   -3.07,    0.40
200007,   -2.51,   -0.95,    8.06,    6.00,    2.99,    0.48
200008,    7.03,   -1.10,   -0.66,   -3.07,    0.61,    0.50
200009,   -5.45,    0.23,    6.13,    3.08,    6.43,    0.51
200010,   -2.76,   -2.83,    5.64,    9.66,    4.67,    0.56
200011,  -10.72,   -0.46,   11.26,   13.33,    8.51,    0.51
200012,    1.19,    3.17,    7.38,    1.85,    5.68,    0.50
200101,    3.13,    5.80,   -4.86,   -4.44,   -6.55,    0.54
200102,  -10.05,    2.67,   12.87,    9.00,    9.56,    0.38
200103,   -7.26,    2.32,    6.46,    3.41,    3.94,    0.42
200104,    7.94,   -0.64,   -4.72,   -2.72,   -3.95,    0.39
200105,    0.72,    3.58,    3.17,    0.18,    2.18,    0.32
200106,   -1.94,    6.61,   -1.03,    2.03,   -1.79,    0.28
200107,   -2.13,   -2.91,    5.57,    7.16,    3.01,    0.30
200108,   -6.46,    2.73,    2.50,    3.95,    6.50,    0.31
200109,   -9.25,   -5.68,    1.60,    4.96,    3.27,    0.28
200110,    2.46,    5.41,   -8.10,   -2.66,   -4.64,    0.22
200111,    7.54,   -0.31,    2.01,   -3.76,   -1.66,    0.17
200112,    1.61,    5.14,    1.10,    0.30,   -0.29,    0.15
200201,   -1.44,    1.19,    3.33,    4.35,    2.84,    0.14
200202,   -2.29,   -0.46,    2.50,    7.62,    5.12,    0.13
200203,    4.24,    4.28,    1.10,   -1.36,    0.61,    0.13
200204,   -5.20,    6.66,    3.93,    4.57,    5.41,    0.15
200205,   -1.38,   -3.07,    1.68,    2.27,    2.42,    0.14
200206,   -7.21,    3.78,    0.12,    3.62,    2.51,    0.13
200207,   -8.18,   -6.24,   -3.44,    4.19,   -0.72,    0.15
200208,    0.50,   -1.27,    2.53,    1.15,   -1.61,    0.14
200209,  -10.35,    3.07,    1.32,    3.24,   -2.28,    0.14
200210,    7.84,   -4.12,   -5.45,   -3.28,    0.92,    0.14
200211,    5.96,    2.90,   -1.12,   -9.13,    5.12,    0.12
200212,   -5.76,    0.50,    2.23,    6.04,   -1.59,    0.11
200301,   -2.57,    0.81,   -0.94,   -0.63,    0.81,    0.10
200302,   -1.88,   -0.89,   -1.45,    1.04,   -0.55,    0.09
200303,    1.09,    0.56,   -2.07,    1.80,   -0.69,    0.10
200304,    8.22,    1.06,    1.03,   -4.57,    1.14,    0.10
200305,    6.05,    4.83,   -0.29,   -6.92,    3.22,    0.09
200306,    1.42,    1.68,    0.69,    0.55,   -0.33,    0.10
200307,    2.35,    4.73,   -1.14,   -4.17,    1.87,    0.07
200308,    2.34,    2.54,    2.03,   -2.46,    2.20,    0.07
200309,   -1.24,    0.52,    0.01,    1.34,    0.31,    0.08
200310,    6.08,    2.64,    1.77,   -1.59,    1.55,    0.07
200311,    1.35,    2.21,    1.85,    0.08,    1.67,    0.07
200312,    4.29,   -2.68,    2.41,    0.00,    0.97,    0.08
200401,    2.15,    2.54,    1.97,   -3.53,    3.40,    0.07
200402,    1.40,   -0.91,    0.50,    2.28,   -1.34,    0.06
200403,   -1.32,    2.11,    0.22,    1.50,   -1.04,    0.09
200404,   -1.83,   -2.19,   -2.62,    3.31,   -2.80,    0.08
200405,    1.17,   -0.40,   -0.39,   -0.97,   -0.08,    0.06
200406,    1.86,    2.56,    1.39,    1.12,   -0.41,    0.08
200407,   -4.06,   -3.03,    4.11,    5.08,   -1.62,    0.10
200408,    0.08,   -1.27,    1.03,    1.30,   -1.43,    0.11
200409,    1.60,    3.28,   -0.25,   -1.34,   -1.90,    0.11
200410,    1.43,    0.28,   -0.63,   -0.07,    0.40,    0.11
200411,    4.54,    4.12,    1.79,   -1.06,   -0.22,    0.15
200412,    3.43,    0.01,   -0.08,   -1.26,    0.51,    0.16
200501,   -2.76,   -1.11,    1.96,    3.05,   -1.38,    0.16
200502,    1.89,   -0.30,    1.65,    1.20,   -0.05,    0.16
200503,   -1.97,   -1.39,    1.61,    0.47,    1.12,    0.21
200504,   -2.61,   -4.01,   -0.35,    0.96,   -0.90,    0.21
200505,    3.65,    2.72,   -0.81,   -1.31,    0.28,    0.24
200506,    0.57,    3.26,    2.63,    0.98,   -0.52,    0.23
200507,    3.92,    2.83,   -0.52,   -1.19,   -0.98,    0.24
200508,   -1.22,   -0.86,    1.27,   -2.23,    0.44,    0.30
200509,    0.49,   -0.31,    0.77,    0.49,   -0.57,    0.29
200510,   -2.02,   -1.41,    0.22,   -0.58,   -1.25,    0.27
200511,    3.61,    0.80,   -1.19,   -0.60,   -1.18,    0.31
200512,   -0.25,   -0.27,    0.44,    0.12,    0.22,    0.32
200601,    3.04,    5.77,    1.13,   -0.94,   -0.54,    0.35
200602,   -0.30,   -0.44,   -0.25,   -0.70,    2.03,    0.34
200603,    1.46,    3.44,    0.60,   -0.04,   -0.52,    0.37
200604,    0.73,   -0.82,    2.61,    1.15,   -0.20,    0.36
200605,   -3.57,   -3.00,    2.54,    0.96,    1.31,    0.43
200606,   -0.35,   -0.23,    0.87,    1.38,   -0.11,    0.40
200607,   -0.78,   -3.69,    2.94,    1.54,    0.93,    0.40
200608,    2.03,    0.44,   -1.71,   -1.74,    2.15,    0.42
200609,    1.84,   -1.44,    0.04,    0.88,    0.53,    0.41
200610,    3.23,    1.93,   -0.03,   -0.22,    0.26,    0.41
200611,    1.71,    0.82,    0.07,    0.10,   -0.88,    0.42
200612,    0.87,   -0.79,    3.16,   -0.80,    2.05,    0.40
200701,    1.40,    0.08,   -0.11,    0.22,    0.24,    0.44
200702,   -1.96,    1.40,   -0.09,   -0.47,   -0.74,    0.38
200703,    0.68,    0.07,   -0.22,    0.24,   -0.59,    0.43
200704,    3.49,   -2.02,   -1.15,    1.02,    1.01,    0.44
200705,    3.24,    0.28,   -0.04,    1.13,   -1.29,    0.41
200706,   -1.96,    0.76,   -1.12,    0.53,    0.07,    0.40
200707,   -3.73,   -2.87,   -3.33,    0.57,   -1.04,    0.40
200708,    0.92,   -0.34,   -2.24,   -0.91,   -0.56,    0.42
200709,    3.22,   -2.41,   -1.86,   -0.58,   -3.17,    0.32
200710,    1.80,    0.03,   -2.59,   -0.31,   -0.10,    0.32
200711,   -4.83,   -2.81,   -1.18,    1.88,   -0.34,    0.34
200712,   -0.87,    0.18,   -0.51,    0.70,   -1.09,    0.27
200801,   -6.36,   -0.52,    3.65,    1.98,    2.20,    0.21
200802,   -3.09,   -0.53,   -0.94,    0.76,   -1.06,    0.13
200803,   -0.93,    0.75,   -0.14,    1.09,    0.47,    0.17
200804,    4.60,   -1.15,   -0.95,    1.28,   -2.54,    0.18
200805,    1.86,    3.22,   -1.38,    0.81,    0.04,    0.18
200806,   -8.44,    1.15,   -2.41,    4.30,   -0.42,    0.17
200807,   -0.77,    3.64,    5.93,   -1.00,    1.06,    0.15
200808,    1.53,    3.42,    1.55,    1.84,    0.81,    0.13
200809,   -9.24,    0.35,    6.32,    2.95,    1.78,    0.15
200810,  -17.23,   -3.21,   -2.88,    3.58,    1.92,    0.08
200811,   -7.86,   -3.88,   -6.03,    4.79,    2.72,    0.03
200812,    1.74,    3.38,   -0.28,   -0.08,   -1.41,    0.00
200901,   -8.12,   -1.99,  -11.23,    0.23,   -1.16,    0.00
200902,  -10.10,   -1.17,   -7.30,    1.71,   -1.11,    0.01
200903,    8.95,    0.66,    3.64,   -2.33,   -2.22,    0.02
200904,   10.19,    6.70,    5.53,    0.29,    0.14,    0.01
200905,    5.21,   -2.33,   -0.21,   -0.98,   -2.16,    0.00
200906,    0.43,    2.31,   -2.66,   -1.06,   -0.18,    0.01
200907,    7.72,    2.45,    5.31,   -0.59,    3.21,    0.01
200908,    3.33,   -0.05,    7.76,   -2.99,    3.23,    0.01
200909,    4.08,    2.74,    0.91,    1.44,    0.38,    0.01
200910,   -2.59,   -4.78,   -4.17,    4.18,   -1.67,    0.00
200911,    5.56,   -2.80,   -0.19,    0.82,    0.16,    0.00
200912,    2.75,    6.24,   -0.01,    0.65,   -0.08,    0.01
201001,   -3.36,    0.28,    0.31,   -1.41,    0.44,    0.00
201002,    3.40,    1.47,    3.13,   -0.28,    1.43,    0.00
201003,    6.31,    1.79,    2.13,   -0.62,    1.69,    0.01
201004,    2.00,    5.05,    2.82,    1.12,    1.69,    0.01
201005,   -7.89,    0.06,   -2.39,    1.29,   -0.19,    0.01
201006,   -5.56,   -2.49,   -4.48,   -0.27,   -1.50,    0.01
201007,    6.93,    0.09,   -0.26,    0.24,    2.01,    0.01
201008,   -4.77,   -3.11,   -1.96,    0.72,   -1.69,    0.01
201009,    9.54,    3.72,   -3.13,   -0.21,    0.47,    0.01
201010,    3.88,    0.78,   -2.61,    1.29,   -0.23,    0.01
201011,    0.60,    3.61,   -0.90,    0.24,    1.63,    0.01
201012,    6.82,    0.95,    3.81,   -3.65,    3.23,    0.01
201101,    1.99,   -2.42,    0.81,   -0.89,    0.69,    0.01
201102,    3.49,    1.64,    1.09,   -1.93,    0.95,    0.01
201103,    0.45,    2.67,   -1.58,    1.65,   -0.03,    0.01
201104,    2.90,   -0.51,   -2.52,    1.10,   -0.84,    0.00
201105,   -1.27,   -0.68,   -2.07,    2.02,   -1.50,    0.00
201106,   -1.75,    0.11,   -0.31,    2.38,   -1.45,    0.00
201107,   -2.36,   -1.35,   -1.21,    2.43,   -1.69,    0.00
201108,   -5.99,   -3.21,   -2.45,    3.19,   -0.20,    0.01
201109,   -7.59,   -3.77,   -1.39,    1.89,    0.28,    0.00
201110,   11.35,    3.56,   -0.18,   -1.94,   -0.85,    0.00
201111,   -0.28,   -0.26,   -0.34,    1.77,    1.50,    0.00
201112,    0.74,   -0.44,    1.78,    0.76,    2.36,    0.00
201201,    5.05,    2.16,   -1.14,   -1.80,   -1.41,    0.00
201202,    4.42,   -1.63,    0.09,   -0.19,   -0.06,    0.00
201203,    3.11,   -0.46,    0.91,   -0.41,    0.81,    0.00
201204,   -0.85,   -0.59,   -0.49,    1.12,    0.67,    0.00
201205,   -6.19,   -0.10,   -0.58,    2.25,    2.41,    0.01
201206,    3.89,    0.96,    0.44,   -1.23,    0.32,    0.00
201207,    0.79,   -2.68,   -0.26,    1.13,    0.13,    0.00
201208,    2.55,    0.44,    1.28,   -1.27,   -0.73,    0.01
201209,    2.73,    0.66,    1.52,   -1.38,    1.59,    0.01
201210,   -1.76,   -0.81,    3.79,   -1.39,    2.28,    0.01
201211,    0.78,    0.36,   -0.98,    0.67,    0.91,    0.01
201212,    1.18,    1.88,    3.58,   -1.99,    0.86,    0.01
201301,    5.57,    0.56,    0.91,   -1.64,    1.47,    0.00
201302,    1.29,   -0.38,    0.01,   -0.68,    0.48,    0.00
201303,    4.03,    0.83,   -0.28,    0.17,    1.31,    0.00
201304,    1.55,   -2.30,    0.59,    0.08,    0.47,    0.00
201305,    2.80,    2.07,    2.56,   -1.68,   -0.78,    0.00
201306,   -1.20,    1.35,   -0.17,   -0.45,   -0.01,    0.00
201307,    5.65,    1.79,    0.55,   -1.45,    0.56,    0.00
201308,   -2.71,   -0.02,   -2.76,    0.62,   -2.18,    0.00
201309,    3.77,    2.67,   -1.20,   -0.77,   -1.30,    0.00
201310,    4.18,   -1.51,    1.10,    2.66,    0.88,    0.00
201311,    3.12,    1.35,    0.27,    0.13,    0.08,    0.00
201312,    2.81,   -0.53,   -0.30,   -0.49,    0.08,    0.00
201401,   -3.32,    0.59,   -2.10,   -3.97,   -1.36,    0.00
201402,    4.65,    0.13,   -0.46,   -0.25,   -0.43,    0.00
201403,    0.43,   -1.17,    5.06,    2.14,    1.89,    0.00
201404,   -0.19,   -4.17,    1.07,    3.48,    1.04,    0.00
201405,    2.06,   -1.88,   -0.19,    0.09,   -1.06,    0.00
201406,    2.61,    3.08,   -0.76,   -1.95,   -1.94,    0.00
201407,   -2.04,   -4.25,    0.01,    0.94,    0.47,    0.00
201408,    4.24,    0.28,   -0.58,   -0.63,   -0.69,    0.00
201409,   -1.97,   -3.79,   -1.23,    1.12,   -0.52,    0.00
201410,    2.52,    3.78,   -1.68,   -0.47,   -0.17,    0.00
201411,    2.55,   -2.30,   -2.99,    1.40,    0.19,    0.00
201412,   -0.06,    2.87,    2.06,   -1.16,    0.88,    0.00
201501,   -3.11,   -0.89,   -3.47,    1.67,   -1.66,    0.00
201502,    6.13,    0.22,   -1.83,   -1.06,   -1.76,    0.00
201503,   -1.12,    3.04,   -0.46,    0.10,   -0.51,    0.00
201504,    0.59,   -3.02,    1.85,   -0.14,   -0.49,    0.00
201505,    1.36,    0.80,   -1.36,   -1.73,   -0.73,    0.00
201506,   -1.53,    2.85,   -0.79,    0.50,   -1.48,    0.00
201507,    1.54,   -4.55,   -4.14,    0.04,   -2.54,    0.00
201508,   -6.04,    0.41,    2.66,    0.76,    1.25,    0.00
201509,   -3.08,   -2.79,    0.53,    1.83,   -0.47,    0.00
201510,    7.75,   -2.17,   -0.06,    0.81,    0.45,    0.00
201511,    0.56,    3.36,   -0.50,   -2.59,   -1.11,    0.00
201512,   -2.17,   -2.99,   -2.60,    0.32,    0.10,    0.01
201601,   -5.77,   -3.42,    2.08,    2.60,    3.04,    0.01
201602,   -0.07,    0.95,   -0.49,    3.27,    2.06,    0.02
201603,    6.96,    1.10,    1.15,    0.82,   -0.06,    0.02
201604,    0.92,    1.18,    3.26,   -2.88,    1.97,    0.01
201605,    1.78,   -0.72,   -1.82,   -1.01,   -2.54,    0.01
201606,   -0.05,    0.49,   -1.46,    1.19,    1.96,    0.02
201607,    3.95,    2.64,   -1.09,    1.32,   -1.24,    0.02
201608,    0.50,    1.73,    3.37,   -1.31,   -0.35,    0.02
201609,    0.25,    1.76,   -1.47,   -2.31,   -0.06,    0.02
201610,   -2.02,   -4.04,    4.14,    1.19,    0.21,    0.02
201611,    4.86,    6.80,    8.32,   -0.06,    3.78,    0.01
201612,    1.81,    0.42,    3.60,    0.98,   -0.29,    0.03
201701,    1.94,   -1.26,   -2.77,   -0.01,   -0.94,    0.04
201702,    3.57,   -2.14,   -1.82,    0.79,   -1.74,    0.04
201703,    0.17,    0.78,   -3.17,    0.66,   -1.04,    0.03
201704,    1.09,    0.48,   -1.87,    1.99,   -1.58,    0.05
201705,    1.06,   -3.07,   -3.81,    1.21,   -1.93,    0.06
201706,    0.78,    2.49,    1.35,   -1.99,   -0.05,    0.06
201707,    1.87,   -1.57,   -0.26,   -0.58,   -0.15,    0.07
201708,    0.16,   -1.82,   -2.22,    0.24,   -2.43,    0.09
201709,    2.51,    4.80,    3.02,   -1.35,    1.62,    0.09
201710,    2.25,   -1.94,   -0.08,    0.96,   -3.33,    0.09
201711,    3.12,   -0.43,   -0.04,    3.12,    0.01,    0.08
201712,    1.06,   -1.04,    0.11,    0.68,    1.65,    0.09
201801,    5.58,   -3.11,   -1.55,   -0.41,   -0.89,    0.11
201802,   -3.65,    0.34,   -1.09,    0.53,   -2.25,    0.11
201803,   -2.35,    3.50,    0.00,   -0.60,   -0.01,    0.12
201804,    0.29,    0.93,    0.56,   -2.36,    1.18,    0.14
201805,    2.65,    4.75,   -3.21,   -2.04,   -1.43,    0.14
201806,    0.48,    0.88,   -2.40,    0.73,    0.34,    0.14
201807,    3.19,   -1.95,    0.47,    1.55,    0.40,    0.16
201808,    3.44,    0.64,   -4.13,   -0.26,   -2.47,    0.16
201809,    0.06,   -2.52,   -1.32,    0.60,    1.26,    0.15
201810,   -7.68,   -4.53,    3.47,    0.82,    3.42,    0.19
201811,    1.69,   -0.84,    0.27,   -0.63,    0.33,    0.18
201812,   -9.55,   -3.05,   -1.49,   -0.14,    0.15,    0.19
201901,    8.41,    3.08,   -0.60,   -0.70,   -1.36,    0.21
201902,    3.40,    1.78,   -2.83,    0.23,   -1.47,    0.18
201903,    1.10,   -3.58,   -4.04,    0.87,   -1.03,    0.19
201904,    3.96,   -1.15,    1.96,    1.72,   -2.18,    0.21
201905,   -6.94,   -1.51,   -2.35,   -0.43,    1.78,    0.21
201906,    6.93,    0.36,   -1.08,    0.94,   -0.38,    0.18
201907,    1.19,   -1.89,    0.17,   -0.04,    0.34,    0.19
201908,   -2.58,   -3.30,   -5.05,    0.41,   -0.88,    0.16
201909,    1.43,    0.27,    6.81,    1.98,    3.50,    0.18
201910,    2.06,    0.22,   -2.04,    0.39,   -0.99,    0.15
201911,    3.87,    0.52,   -1.80,   -1.52,   -1.24,    0.12
201912,    2.77,    0.96,    1.93,    0.19,    1.29,    0.14
202001,   -0.11,   -4.40,   -6.37,   -1.24,   -2.34,    0.13
202002,   -8.13,   -0.05,   -4.05,   -1.67,   -2.49,    0.12
202003,  -13.39,   -8.42,  -14.17,   -1.33,    1.21,    0.12
202004,   13.65,    2.81,   -1.18,    2.65,   -1.03,    0.00
202005,    5.58,    1.92,   -4.92,    0.66,   -3.28,    0.01
202006,    2.45,    1.93,   -2.19,   -0.02,    0.34,    0.01
202007,    5.77,   -3.11,   -1.27,    0.61,    1.07,    0.01

 Annual Factors: January-December 
,Mkt-RF,SMB,HML,RMW,CMA,RF
  1964,   12.54,    0.33,    9.86,   -2.99,    6.80,    3.54
  1965,   10.52,   24.41,    7.36,   -0.79,   -3.17,    3.93
  1966,  -13.51,    2.15,   -0.68,   -0.12,   -0.34,    4.76
  1967,   24.49,   50.40,   -8.58,    7.53,  -15.04,    4.21
  1968,    8.79,   26.32,   18.49,  -12.84,   16.25,    5.21
  1969,  -17.54,  -14.06,   -9.81,   11.77,   -4.14,    6.58
  1970,   -6.49,  -12.36,   22.34,   -2.65,   24.45,    6.52
  1971,   11.78,    5.58,  -11.29,   10.16,   -5.86,    4.39
  1972,   13.05,  -11.43,    1.75,    7.99,   -3.05,    3.84
  1973,  -26.19,  -20.00,   18.08,   -9.03,    6.66,    6.93
  1974,  -35.75,    0.67,    9.67,   -4.04,   22.88,    8.00
  1975,   32.44,   19.05,    9.49,    0.53,    0.48,    5.80
  1976,   21.91,   19.90,   24.50,   -6.67,    7.47,    5.08
  1977,   -8.26,   24.64,    7.51,    2.16,   -0.39,    5.12
  1978,    1.03,   13.68,    0.37,    5.07,    4.15,    7.18
  1979,   13.09,   21.05,   -2.12,   -2.80,   -0.99,   10.38
  1980,   22.13,    4.91,  -25.06,   14.08,  -11.32,   11.24
  1981,  -18.13,    7.48,   25.01,   -1.60,   10.36,   14.71
  1982,   10.66,    7.42,   13.59,   -4.46,   18.01,   10.54
  1983,   13.74,   11.84,   20.85,    0.67,   16.43,    8.80
  1984,   -6.05,   -8.45,   19.63,   14.88,    3.84,    9.85
  1985,   24.91,   -0.62,    1.35,   11.89,   -2.49,    7.72
  1986,   10.12,  -10.37,    9.58,    7.13,    9.84,    6.16
  1987,   -3.87,  -11.28,   -1.64,    6.20,    6.90,    5.47
  1988,   11.55,    6.46,   14.77,    3.08,    9.74,    6.35
  1989,   20.49,  -13.02,   -4.29,    2.74,    8.21,    8.37
  1990,  -13.95,  -14.30,   -9.72,    7.44,    0.60,    7.81
  1991,   29.18,   15.77,  -14.41,   12.06,  -14.91,    5.60
  1992,    6.23,    9.07,   24.28,    7.54,    6.96,    3.51
  1993,    8.21,    6.01,   18.91,   -8.55,   11.99,    2.90
  1994,   -4.10,   -2.51,   -0.69,    6.35,    3.90,    3.90
  1995,   31.22,   -8.17,    5.30,    1.97,    2.81,    5.60
  1996,   15.96,   -2.80,    6.16,   15.53,    0.52,    5.21
  1997,   25.96,   -6.17,   17.46,   10.51,    5.19,    5.26
  1998,   19.46,  -28.67,   -8.89,    0.63,   -4.60,    4.86
  1999,   20.57,    8.56,  -31.77,  -27.89,   -8.44,    4.68
  2000,  -17.60,    4.21,   39.69,   26.67,   32.74,    5.89
  2001,  -15.20,   23.68,   19.52,   19.84,   11.79,    3.83
  2002,  -22.76,    5.82,    7.47,   20.39,   14.47,    1.65
  2003,   30.75,   24.49,    5.40,  -20.46,   17.26,    1.02
  2004,   10.72,    7.34,    8.08,    8.34,   -7.86,    1.20
  2005,    3.09,   -0.75,    8.33,    1.71,   -5.03,    2.98
  2006,   10.60,    1.53,   14.11,    2.08,    8.19,    4.80
  2007,    1.04,   -7.94,  -14.65,    4.37,   -7.80,    4.66
  2008,  -38.34,    3.34,    0.82,   15.06,    4.16,    1.60
  2009,   28.26,    7.99,   -9.17,    2.78,   -2.67,    0.10
  2010,   17.37,   13.28,   -5.31,   -1.48,    9.93,    0.12
  2011,    0.44,   -5.78,   -8.35,   12.60,   -0.88,    0.04
  2012,   16.28,   -0.08,    9.68,   -4.71,    9.41,    0.06
  2013,   35.20,    7.68,    1.33,   -4.44,    1.31,    0.02
  2014,   11.70,   -8.10,   -1.74,    1.04,   -1.70,    0.02
  2015,    0.07,   -5.85,   -9.65,    0.89,   -8.49,    0.02
  2016,   13.30,    9.20,   23.02,    4.82,    9.77,    0.20
  2017,   21.50,   -5.84,  -13.98,    6.81,  -11.80,    0.80
  2018,   -6.93,   -5.35,   -9.16,   -1.37,    0.21,    1.81
  2019,   28.28,   -6.22,  -11.67,    4.99,   -2.81,    2.14
